"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 08:33:34 GMT 2024","Wed May 01 08:33:36 GMT 2024","2528","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
"passed","Wed May 01 08:38:15 GMT 2024","Wed May 01 08:38:15 GMT 2024","520","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongUsername","testLongUsername",""
"passed","Wed May 01 08:35:25 GMT 2024","Wed May 01 08:35:25 GMT 2024","643","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidMonth","testBirthdayInvalidMonth",""
"passed","Wed May 01 08:39:51 GMT 2024","Wed May 01 08:40:08 GMT 2024","17215","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxAbout","testValidMaxAbout",""
"passed","Wed May 01 08:34:43 GMT 2024","Wed May 01 08:34:46 GMT 2024","3052","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkSuccessRegistration","checkSuccessRegistration",""
"failed","Wed May 01 08:39:21 GMT 2024","Wed May 01 08:39:22 GMT 2024","1401","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernamePlus","testUsernamePlus",""
"broken","Wed May 01 08:37:22 GMT 2024","Wed May 01 08:37:37 GMT 2024","15334","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPasswordNoSymbols","testInvalidLingPasswordNoSymbols",""
"passed","Wed May 01 08:39:31 GMT 2024","Wed May 01 08:39:47 GMT 2024","16332","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidLongEmail","testValidLongEmail",""
"passed","Wed May 01 08:34:03 GMT 2024","Wed May 01 08:34:04 GMT 2024","113","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderDropdown","checkGenderDropdown",""
"passed","Wed May 01 08:33:10 GMT 2024","Wed May 01 08:33:12 GMT 2024","2524","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"passed","Wed May 01 08:34:47 GMT 2024","Wed May 01 08:34:47 GMT 2024","376","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkGetIngo","checkGetIngo",""
"passed","Wed May 01 08:36:21 GMT 2024","Wed May 01 08:36:21 GMT 2024","441","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyUsername","testEmptyUsername",""
"passed","Wed May 01 08:33:43 GMT 2024","Wed May 01 08:33:46 GMT 2024","2607","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordWithoutNumbers","checkPasswordWithoutNumbers",""
"passed","Wed May 01 08:34:46 GMT 2024","Wed May 01 08:34:46 GMT 2024","271","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkValidLogin","checkValidLogin",""
"passed","Wed May 01 08:36:11 GMT 2024","Wed May 01 08:36:12 GMT 2024","1229","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyEmail","testEmptyEmail",""
"passed","Wed May 01 08:34:30 GMT 2024","Wed May 01 08:34:32 GMT 2024","1981","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testLongPasswordInput","testLongPasswordInput",""
"passed","Wed May 01 08:34:51 GMT 2024","Wed May 01 08:34:58 GMT 2024","6881","FriendRate","MyTests","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testEditProfile","testEditProfile",""
"passed","Wed May 01 08:33:46 GMT 2024","Wed May 01 08:33:49 GMT 2024","2826","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkWrongPassword","checkWrongPassword",""
"passed","Wed May 01 08:36:06 GMT 2024","Wed May 01 08:36:07 GMT 2024","1272","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutDot","testEmailWithoutDot",""
"passed","Wed May 01 08:34:14 GMT 2024","Wed May 01 08:34:14 GMT 2024","106","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLanguageDropdown","checkLanguageDropdown",""
"passed","Wed May 01 08:41:29 GMT 2024","Wed May 01 08:41:45 GMT 2024","15298","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinPassword","testValidMinPassword",""
"passed","Wed May 01 08:36:16 GMT 2024","Wed May 01 08:36:17 GMT 2024","1255","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyLocalPart","testEmptyLocalPart",""
"unknown","Wed May 01 08:32:50 GMT 2024","Wed May 01 08:32:50 GMT 2024","1","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom","checkEmailWithoutCom",""
"failed","Wed May 01 08:38:51 GMT 2024","Wed May 01 08:38:53 GMT 2024","1464","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameAt","testUsernameAt",""
"passed","Wed May 01 08:34:46 GMT 2024","Wed May 01 08:34:47 GMT 2024","704","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkAddingInfo","checkAddingInfo",""
"passed","Wed May 01 08:33:07 GMT 2024","Wed May 01 08:33:10 GMT 2024","2467","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testHeaderText","testHeaderText",""
"passed","Wed May 01 08:39:16 GMT 2024","Wed May 01 08:39:18 GMT 2024","1164","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMinLength","testUsernameMinLength",""
"unknown","Wed May 01 08:32:50 GMT 2024","Wed May 01 08:32:50 GMT 2024","0","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testEnterAdditionalInfo","testEnterAdditionalInfo",""
"passed","Wed May 01 08:40:31 GMT 2024","Wed May 01 08:40:47 GMT 2024","15391","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxPassword","testValidMaxPassword",""
"unknown","Wed May 01 08:32:50 GMT 2024","Wed May 01 08:32:50 GMT 2024","0","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkRegistrationShortPass","checkRegistrationShortPass",""
"passed","Wed May 01 08:36:01 GMT 2024","Wed May 01 08:36:03 GMT 2024","1278","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutAt","testEmailWithoutAt",""
"unknown","Wed May 01 08:32:50 GMT 2024","Wed May 01 08:32:50 GMT 2024","0","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testUsedEmailInput","testUsedEmailInput",""
"broken","Wed May 01 08:37:41 GMT 2024","Wed May 01 08:37:56 GMT 2024","15314","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidShortPassword","testInvalidShortPassword",""
"passed","Wed May 01 08:35:02 GMT 2024","Wed May 01 08:35:02 GMT 2024","465","FriendRate","MyTests","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testOpenEditProfilePage","testOpenEditProfilePage",""
"passed","Wed May 01 08:40:50 GMT 2024","Wed May 01 08:41:07 GMT 2024","16660","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinAbout","testValidMinAbout",""
"passed","Wed May 01 08:33:04 GMT 2024","Wed May 01 08:33:07 GMT 2024","2587","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
"passed","Wed May 01 08:34:39 GMT 2024","Wed May 01 08:34:40 GMT 2024","1892","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoSpecialCharsPasswordInput","testNoSpecialCharsPasswordInput",""
"passed","Wed May 01 08:34:47 GMT 2024","Wed May 01 08:34:47 GMT 2024","299","FriendRate","MyTests","api.FriendTest","api.FriendTest","testDeleteUser","testDeleteUser",""
"passed","Wed May 01 08:34:34 GMT 2024","Wed May 01 08:34:36 GMT 2024","1942","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoLettersPasswordInput","testNoLettersPasswordInput",""
"passed","Wed May 01 08:34:36 GMT 2024","Wed May 01 08:34:38 GMT 2024","1942","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoNumbersPasswordInput","testNoNumbersPasswordInput",""
"passed","Wed May 01 08:33:56 GMT 2024","Wed May 01 08:33:56 GMT 2024","47","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Wed May 01 08:40:12 GMT 2024","Wed May 01 08:40:28 GMT 2024","15583","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxBirthday","testValidMaxBirthday",""
"passed","Wed May 01 08:35:33 GMT 2024","Wed May 01 08:35:34 GMT 2024","623","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearPast","testBirthdayInvalidYearPast",""
"passed","Wed May 01 08:33:02 GMT 2024","Wed May 01 08:33:04 GMT 2024","2389","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"passed","Wed May 01 08:38:04 GMT 2024","Wed May 01 08:38:07 GMT 2024","2204","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongAbout","testLongAbout",""
