"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 15:17:05 GMT 2024","Wed May 01 15:17:06 GMT 2024","1015","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyLocalPart","testEmptyLocalPart",""
"passed","Wed May 01 15:15:05 GMT 2024","Wed May 01 15:15:08 GMT 2024","2970","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkSuccessRegistration","checkSuccessRegistration",""
"passed","Wed May 01 15:17:19 GMT 2024","Wed May 01 15:17:20 GMT 2024","743","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPassword","testInvalidLingPassword",""
"unknown","Wed May 01 15:11:52 GMT 2024","Wed May 01 15:11:52 GMT 2024","0","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkRegistrationUsedEmail","checkRegistrationUsedEmail",""
"passed","Wed May 01 15:17:40 GMT 2024","Wed May 01 15:17:41 GMT 2024","693","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPasswordNoSymbols","testInvalidLingPasswordNoSymbols",""
"passed","Wed May 01 15:18:52 GMT 2024","Wed May 01 15:18:53 GMT 2024","1078","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testShortAbout","testShortAbout",""
"passed","Wed May 01 15:17:47 GMT 2024","Wed May 01 15:17:48 GMT 2024","701","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidShortPassword","testInvalidShortPassword",""
"failed","Wed May 01 15:19:07 GMT 2024","Wed May 01 15:19:09 GMT 2024","2055","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameAt","testUsernameAt",""
"passed","Wed May 01 15:19:39 GMT 2024","Wed May 01 15:19:41 GMT 2024","2118","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMaxLength","testUsernameMaxLength",""
"passed","Wed May 01 15:14:16 GMT 2024","Wed May 01 15:14:18 GMT 2024","1797","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testSignUpButton","testSignUpButton",""
"unknown","Wed May 01 15:11:52 GMT 2024","Wed May 01 15:11:52 GMT 2024","0","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testSignUp","testSignUp",""
"passed","Wed May 01 15:16:14 GMT 2024","Wed May 01 15:16:30 GMT 2024","16040","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailDotInLocalPart","testEmailDotInLocalPart",""
"passed","Wed May 01 15:20:10 GMT 2024","Wed May 01 15:20:26 GMT 2024","16064","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidLongEmail","testValidLongEmail",""
"passed","Wed May 01 15:22:24 GMT 2024","Wed May 01 15:22:40 GMT 2024","15700","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinPassword","testValidMinPassword",""
"passed","Wed May 01 15:19:32 GMT 2024","Wed May 01 15:19:33 GMT 2024","1012","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameInvalidSymbols","testUsernameInvalidSymbols",""
"passed","Wed May 01 15:15:08 GMT 2024","Wed May 01 15:15:09 GMT 2024","515","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkValidLogin","checkValidLogin",""
"passed","Wed May 01 15:12:00 GMT 2024","Wed May 01 15:12:03 GMT 2024","3072","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailLabel","checkEmailLabel",""
"passed","Wed May 01 15:21:18 GMT 2024","Wed May 01 15:21:33 GMT 2024","15861","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxPassword","testValidMaxPassword",""
"passed","Wed May 01 15:12:16 GMT 2024","Wed May 01 15:12:19 GMT 2024","2850","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
"passed","Wed May 01 15:20:33 GMT 2024","Wed May 01 15:20:49 GMT 2024","16371","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxAbout","testValidMaxAbout",""
"passed","Wed May 01 15:13:54 GMT 2024","Wed May 01 15:13:54 GMT 2024","13","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderLabel","checkGenderLabel",""
"broken","Wed May 01 15:15:16 GMT 2024","Wed May 01 15:15:17 GMT 2024","1410","FriendRate","MyTests","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testEditProfile","testEditProfile",""
"passed","Wed May 01 15:13:35 GMT 2024","Wed May 01 15:13:35 GMT 2024","27","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Wed May 01 15:20:56 GMT 2024","Wed May 01 15:21:11 GMT 2024","15816","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxBirthday","testValidMaxBirthday",""
"passed","Wed May 01 15:11:55 GMT 2024","Wed May 01 15:11:58 GMT 2024","2951","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"passed","Wed May 01 15:12:22 GMT 2024","Wed May 01 15:12:25 GMT 2024","2965","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testHeaderText","testHeaderText",""
"passed","Wed May 01 15:14:07 GMT 2024","Wed May 01 15:14:07 GMT 2024","468","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLanguageDropdown","checkLanguageDropdown",""
"passed","Wed May 01 15:13:13 GMT 2024","Wed May 01 15:13:16 GMT 2024","3097","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordWithoutNumbers","checkPasswordWithoutNumbers",""
"unknown","Wed May 01 15:11:52 GMT 2024","Wed May 01 15:11:52 GMT 2024","2","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom","checkEmailWithoutCom",""
"passed","Wed May 01 15:13:41 GMT 2024","Wed May 01 15:13:41 GMT 2024","17","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkDescription","checkDescription",""
"passed","Wed May 01 15:18:09 GMT 2024","Wed May 01 15:18:10 GMT 2024","1220","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongEmail","testLongEmail",""
"passed","Wed May 01 15:14:00 GMT 2024","Wed May 01 15:14:00 GMT 2024","14","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"passed","Wed May 01 15:14:52 GMT 2024","Wed May 01 15:14:55 GMT 2024","2610","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoNumbersPasswordInput","testNoNumbersPasswordInput",""
"passed","Wed May 01 15:15:52 GMT 2024","Wed May 01 15:15:53 GMT 2024","849","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidMonth","testBirthdayInvalidMonth",""
"passed","Wed May 01 15:12:11 GMT 2024","Wed May 01 15:12:14 GMT 2024","2921","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"passed","Wed May 01 15:12:27 GMT 2024","Wed May 01 15:12:30 GMT 2024","2701","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"passed","Wed May 01 15:12:52 GMT 2024","Wed May 01 15:12:55 GMT 2024","2822","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutDomain","checkEmailWithoutDomain",""
"passed","Wed May 01 15:14:14 GMT 2024","Wed May 01 15:14:14 GMT 2024","14","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLogo","checkLogo",""
