"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 21:15:48 GMT 2024","Mon Jun 03 21:15:51 GMT 2024","3161","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkPasswordWithoutNumbers","checkPasswordWithoutNumbers",""
"passed","Mon Jun 03 21:15:14 GMT 2024","Mon Jun 03 21:15:17 GMT 2024","2446","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","testHeaderText","testHeaderText",""
"passed","Mon Jun 03 21:16:41 GMT 2024","Mon Jun 03 21:16:42 GMT 2024","438","FriendRate","Positive paths","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testOpenEditProfilePage","testOpenEditProfilePage",""
"passed","Mon Jun 03 21:15:54 GMT 2024","Mon Jun 03 21:15:57 GMT 2024","3189","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkValidLogin","checkValidLogin",""
"passed","Mon Jun 03 21:21:05 GMT 2024","Mon Jun 03 21:21:20 GMT 2024","15708","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxPassword","testValidMaxPassword",""
"failed","Mon Jun 03 21:19:55 GMT 2024","Mon Jun 03 21:19:57 GMT 2024","1747","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernamePlus","testUsernamePlus",""
"passed","Mon Jun 03 21:22:19 GMT 2024","Mon Jun 03 21:22:22 GMT 2024","2795","FriendRate","Api tests","api.FriendTest","api.FriendTest","checkSuccessRegistration","checkSuccessRegistration",""
"passed","Mon Jun 03 21:17:04 GMT 2024","Mon Jun 03 21:17:06 GMT 2024","2008","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testUsedEmailInput","testUsedEmailInput",""
"passed","Mon Jun 03 21:17:02 GMT 2024","Mon Jun 03 21:17:04 GMT 2024","1923","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testShortPasswordInput","testShortPasswordInput",""
"passed","Mon Jun 03 21:16:07 GMT 2024","Mon Jun 03 21:16:07 GMT 2024","13","FriendRate","Positive paths","tests.MainPageTest","tests.MainPageTest","checkDescription","checkDescription",""
"passed","Mon Jun 03 21:15:39 GMT 2024","Mon Jun 03 21:15:42 GMT 2024","2717","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
"unknown","Mon Jun 03 21:14:47 GMT 2024","Mon Jun 03 21:14:47 GMT 2024","0","FriendRate","Positive paths","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testEnterAdditionalInfo","testEnterAdditionalInfo",""
"passed","Mon Jun 03 21:18:53 GMT 2024","Mon Jun 03 21:19:09 GMT 2024","15707","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testMatchingPasswords","testMatchingPasswords",""
"passed","Mon Jun 03 21:18:23 GMT 2024","Mon Jun 03 21:18:23 GMT 2024","797","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLongPasswordNoNumbers","testInvalidLongPasswordNoNumbers",""
"unknown","Mon Jun 03 21:22:19 GMT 2024","Mon Jun 03 21:22:19 GMT 2024","0","FriendRate","Api tests","api.FriendTest","api.FriendTest","checkRegistrationWrongEmail","checkRegistrationWrongEmail",""
"passed","Mon Jun 03 21:15:09 GMT 2024","Mon Jun 03 21:15:12 GMT 2024","2463","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"passed","Mon Jun 03 21:17:53 GMT 2024","Mon Jun 03 21:17:54 GMT 2024","1093","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutAt","testEmailWithoutAt",""
"passed","Mon Jun 03 21:21:44 GMT 2024","Mon Jun 03 21:21:59 GMT 2024","15777","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinBirthday","testValidMinBirthday",""
"unknown","Mon Jun 03 21:22:19 GMT 2024","Mon Jun 03 21:22:19 GMT 2024","0","FriendRate","Api tests","api.FriendTest","api.FriendTest","checkRegistrationUsedEmail","checkRegistrationUsedEmail",""
"passed","Mon Jun 03 21:19:22 GMT 2024","Mon Jun 03 21:19:22 GMT 2024","755","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testShortUsername","testShortUsername",""
"passed","Mon Jun 03 21:18:02 GMT 2024","Mon Jun 03 21:18:03 GMT 2024","1005","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyEmail","testEmptyEmail",""
"passed","Mon Jun 03 21:17:25 GMT 2024","Mon Jun 03 21:17:26 GMT 2024","835","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearPast","testBirthdayInvalidYearPast",""
"passed","Mon Jun 03 21:15:17 GMT 2024","Mon Jun 03 21:15:19 GMT 2024","2432","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"passed","Mon Jun 03 21:15:12 GMT 2024","Mon Jun 03 21:15:14 GMT 2024","2444","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
