"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 11:07:50 GMT 2024","Wed May 01 11:08:06 GMT 2024","16013","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailDotInLocalPart","testEmailDotInLocalPart",""
"passed","Wed May 01 11:05:59 GMT 2024","Wed May 01 11:05:59 GMT 2024","10","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLogo","checkLogo",""
"passed","Wed May 01 11:06:31 GMT 2024","Wed May 01 11:06:33 GMT 2024","2339","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoLettersPasswordInput","testNoLettersPasswordInput",""
"passed","Wed May 01 11:05:15 GMT 2024","Wed May 01 11:05:18 GMT 2024","3431","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkValidLogin","checkValidLogin",""
"failed","Wed May 01 11:10:38 GMT 2024","Wed May 01 11:10:40 GMT 2024","1753","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameDot","testUsernameDot",""
"passed","Wed May 01 11:12:34 GMT 2024","Wed May 01 11:12:49 GMT 2024","15741","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxPassword","testValidMaxPassword",""
"passed","Wed May 01 11:03:51 GMT 2024","Wed May 01 11:03:53 GMT 2024","2628","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"unknown","Wed May 01 11:03:36 GMT 2024","Wed May 01 11:03:36 GMT 2024","0","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testSignUp","testSignUp",""
"passed","Wed May 01 11:04:01 GMT 2024","Wed May 01 11:04:04 GMT 2024","2620","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailPlaceholder","checkEmailPlaceholder",""
"passed","Wed May 01 11:10:59 GMT 2024","Wed May 01 11:11:01 GMT 2024","1794","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMaxLength","testUsernameMaxLength",""
"passed","Wed May 01 11:07:37 GMT 2024","Wed May 01 11:07:38 GMT 2024","824","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearFuture","testBirthdayInvalidYearFuture",""
"passed","Wed May 01 11:08:50 GMT 2024","Wed May 01 11:08:51 GMT 2024","738","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPassword","testInvalidLingPassword",""
"passed","Wed May 01 11:10:17 GMT 2024","Wed May 01 11:10:19 GMT 2024","1973","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testShortAbout","testShortAbout",""
"passed","Wed May 01 11:08:11 GMT 2024","Wed May 01 11:08:12 GMT 2024","1020","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithSymbolInDomain","testEmailWithSymbolInDomain",""
"passed","Wed May 01 11:04:10 GMT 2024","Wed May 01 11:04:13 GMT 2024","2794","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
"broken","Wed May 01 11:06:56 GMT 2024","Wed May 01 11:06:58 GMT 2024","2224","FriendRate","MyTests","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testEditProfile","testEditProfile",""
"passed","Wed May 01 11:06:27 GMT 2024","Wed May 01 11:06:29 GMT 2024","2384","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testMismatchingPasswordInput","testMismatchingPasswordInput",""
"unknown","Wed May 01 11:03:36 GMT 2024","Wed May 01 11:03:36 GMT 2024","0","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testEnterAdditionalInfo","testEnterAdditionalInfo",""
"passed","Wed May 01 11:06:40 GMT 2024","Wed May 01 11:06:42 GMT 2024","2287","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoSpecialCharsPasswordInput","testNoSpecialCharsPasswordInput",""
"passed","Wed May 01 11:07:03 GMT 2024","Wed May 01 11:07:04 GMT 2024","446","FriendRate","MyTests","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testOpenEditProfilePage","testOpenEditProfilePage",""
"passed","Wed May 01 11:05:00 GMT 2024","Wed May 01 11:05:03 GMT 2024","2937","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"passed","Wed May 01 11:09:43 GMT 2024","Wed May 01 11:09:44 GMT 2024","891","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongUsername","testLongUsername",""
