"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Apr 26 13:34:09 GMT 2024","Fri Apr 26 13:34:09 GMT 2024","1","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkRegistrationUsedEmail","checkRegistrationUsedEmail",""
"passed","Fri Apr 26 13:35:30 GMT 2024","Fri Apr 26 13:35:34 GMT 2024","3216","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"passed","Fri Apr 26 13:34:25 GMT 2024","Fri Apr 26 13:34:28 GMT 2024","3224","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailLabel","checkEmailLabel",""
"passed","Fri Apr 26 13:35:41 GMT 2024","Fri Apr 26 13:35:44 GMT 2024","3378","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkWrongPassword","checkWrongPassword",""
"passed","Fri Apr 26 13:36:50 GMT 2024","Fri Apr 26 13:36:52 GMT 2024","2539","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmptyEmailInput","testEmptyEmailInput",""
"unknown","Fri Apr 26 13:34:09 GMT 2024","Fri Apr 26 13:34:09 GMT 2024","0","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testSignUp","testSignUp",""
"passed","Fri Apr 26 13:37:04 GMT 2024","Fri Apr 26 13:37:06 GMT 2024","2517","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testMismatchingPasswordInput","testMismatchingPasswordInput",""
"unknown","Fri Apr 26 13:34:09 GMT 2024","Fri Apr 26 13:34:09 GMT 2024","0","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom","checkEmailWithoutCom",""
"passed","Fri Apr 26 13:36:16 GMT 2024","Fri Apr 26 13:36:16 GMT 2024","14","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderLabel","checkGenderLabel",""
"passed","Fri Apr 26 13:36:35 GMT 2024","Fri Apr 26 13:36:35 GMT 2024","10","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLogo","checkLogo",""
"passed","Fri Apr 26 13:36:22 GMT 2024","Fri Apr 26 13:36:22 GMT 2024","13","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"passed","Fri Apr 26 13:36:10 GMT 2024","Fri Apr 26 13:36:11 GMT 2024","467","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderDropdown","checkGenderDropdown",""
"passed","Fri Apr 26 13:36:45 GMT 2024","Fri Apr 26 13:36:48 GMT 2024","2551","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmptyConfPasswordInput","testEmptyConfPasswordInput",""
"unknown","Fri Apr 26 13:34:09 GMT 2024","Fri Apr 26 13:34:09 GMT 2024","1","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testUsedEmailInput","testUsedEmailInput",""
"passed","Fri Apr 26 13:37:25 GMT 2024","Fri Apr 26 13:37:28 GMT 2024","2652","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkSuccessRegistration","checkSuccessRegistration",""
"passed","Fri Apr 26 13:37:28 GMT 2024","Fri Apr 26 13:37:29 GMT 2024","501","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkAddingInfo","checkAddingInfo",""
"passed","Fri Apr 26 13:35:25 GMT 2024","Fri Apr 26 13:35:28 GMT 2024","2986","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkInvalidEmailValidation","checkInvalidEmailValidation",""
"passed","Fri Apr 26 13:37:17 GMT 2024","Fri Apr 26 13:37:20 GMT 2024","2536","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoSpecialCharsPasswordInput","testNoSpecialCharsPasswordInput",""
"passed","Fri Apr 26 13:35:15 GMT 2024","Fri Apr 26 13:35:18 GMT 2024","3111","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutDomain","checkEmailWithoutDomain",""
"passed","Fri Apr 26 13:37:22 GMT 2024","Fri Apr 26 13:37:25 GMT 2024","2531","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testShortPasswordInput","testShortPasswordInput",""
"passed","Fri Apr 26 13:36:04 GMT 2024","Fri Apr 26 13:36:04 GMT 2024","12","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkDescription","checkDescription",""
"passed","Fri Apr 26 13:36:59 GMT 2024","Fri Apr 26 13:37:02 GMT 2024","2871","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testLongPasswordInput","testLongPasswordInput",""
"passed","Fri Apr 26 13:34:30 GMT 2024","Fri Apr 26 13:34:33 GMT 2024","2830","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailPlaceholder","checkEmailPlaceholder",""
"passed","Fri Apr 26 13:36:40 GMT 2024","Fri Apr 26 13:36:43 GMT 2024","2556","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmailWithoutDomainInput","testEmailWithoutDomainInput",""
"passed","Fri Apr 26 13:35:20 GMT 2024","Fri Apr 26 13:35:23 GMT 2024","2913","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
"passed","Fri Apr 26 13:35:57 GMT 2024","Fri Apr 26 13:35:57 GMT 2024","26","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Fri Apr 26 13:36:54 GMT 2024","Fri Apr 26 13:36:57 GMT 2024","2571","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testInvalidEmailInput","testInvalidEmailInput",""
