"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 10:27:21 GMT 2024","Wed May 08 10:27:22 GMT 2024","1332","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithSymbolInDomain","testEmailWithSymbolInDomain",""
"failed","Wed May 08 10:30:14 GMT 2024","Wed May 08 10:30:15 GMT 2024","1666","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameAt","testUsernameAt",""
"passed","Wed May 08 10:24:38 GMT 2024","Wed May 08 10:24:41 GMT 2024","2454","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkEmailLabel","checkEmailLabel",""
"passed","Wed May 08 10:27:26 GMT 2024","Wed May 08 10:27:27 GMT 2024","1330","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutAt","testEmailWithoutAt",""
"failed","Wed May 08 10:30:19 GMT 2024","Wed May 08 10:30:20 GMT 2024","1658","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameDot","testUsernameDot",""
"passed","Wed May 08 10:27:35 GMT 2024","Wed May 08 10:27:37 GMT 2024","1260","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyEmail","testEmptyEmail",""
"passed","Wed May 08 10:25:53 GMT 2024","Wed May 08 10:25:53 GMT 2024","17","FriendRate","Positive paths","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"passed","Wed May 08 10:30:34 GMT 2024","Wed May 08 10:30:35 GMT 2024","1729","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMaxLength","testUsernameMaxLength",""
"passed","Wed May 08 10:25:39 GMT 2024","Wed May 08 10:25:39 GMT 2024","51","FriendRate","Positive paths","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Wed May 08 10:29:29 GMT 2024","Wed May 08 10:29:30 GMT 2024","1296","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongAbout","testLongAbout",""
"passed","Wed May 08 10:30:39 GMT 2024","Wed May 08 10:30:40 GMT 2024","1174","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMinLength","testUsernameMinLength",""
"passed","Wed May 08 10:29:42 GMT 2024","Wed May 08 10:29:58 GMT 2024","15373","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testMatchingPasswords","testMatchingPasswords",""
"passed","Wed May 08 10:26:24 GMT 2024","Wed May 08 10:26:26 GMT 2024","1897","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testInvalidEmailInput","testInvalidEmailInput",""
"passed","Wed May 08 10:26:57 GMT 2024","Wed May 08 10:26:58 GMT 2024","590","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearPast","testBirthdayInvalidYearPast",""
"unknown","Wed May 08 10:33:07 GMT 2024","Wed May 08 10:33:07 GMT 2024","0","FriendRate","Api tests","api.FriendTest","api.FriendTest","checkRegistrationUsedEmail","checkRegistrationUsedEmail",""
"broken","Wed May 08 10:27:49 GMT 2024","Wed May 08 10:28:04 GMT 2024","15348","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLongPassword","testInvalidLongPassword",""
"passed","Wed May 08 10:26:49 GMT 2024","Wed May 08 10:26:50 GMT 2024","592","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidMonth","testBirthdayInvalidMonth",""
"passed","Wed May 08 10:25:17 GMT 2024","Wed May 08 10:25:19 GMT 2024","2527","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
"passed","Wed May 08 10:26:53 GMT 2024","Wed May 08 10:26:54 GMT 2024","605","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearFuture","testBirthdayInvalidYearFuture",""
"passed","Wed May 08 10:31:54 GMT 2024","Wed May 08 10:32:09 GMT 2024","15362","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxPassword","testValidMaxPassword",""
"passed","Wed May 08 10:26:17 GMT 2024","Wed May 08 10:26:17 GMT 2024","199","FriendRate","Positive paths","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testOpenEditProfilePage","testOpenEditProfilePage",""
"passed","Wed May 08 10:26:31 GMT 2024","Wed May 08 10:26:32 GMT 2024","1863","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoLettersPasswordInput","testNoLettersPasswordInput",""
"passed","Wed May 08 10:26:00 GMT 2024","Wed May 08 10:26:02 GMT 2024","1617","FriendRate","Positive paths","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testSignUpButton","testSignUpButton",""
"passed","Wed May 08 10:26:35 GMT 2024","Wed May 08 10:26:37 GMT 2024","1806","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoSpecialCharsPasswordInput","testNoSpecialCharsPasswordInput",""
"passed","Wed May 08 10:24:41 GMT 2024","Wed May 08 10:24:44 GMT 2024","2399","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkEmailPlaceholder","checkEmailPlaceholder",""
"passed","Wed May 08 10:25:28 GMT 2024","Wed May 08 10:25:31 GMT 2024","2842","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkWrongPassword","checkWrongPassword",""
"passed","Wed May 08 10:26:33 GMT 2024","Wed May 08 10:26:35 GMT 2024","1961","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoNumbersPasswordInput","testNoNumbersPasswordInput",""
"failed","Wed May 08 10:30:49 GMT 2024","Wed May 08 10:30:50 GMT 2024","1417","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameUnderscore","testUsernameUnderscore",""
