"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 01 10:44:17 GMT 2024","Wed May 01 10:44:32 GMT 2024","15395","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPassword","testInvalidLingPassword",""
"failed","Wed May 01 10:46:52 GMT 2024","Wed May 01 10:46:54 GMT 2024","1441","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameDot","testUsernameDot",""
"failed","Wed May 01 10:47:16 GMT 2024","Wed May 01 10:47:17 GMT 2024","1396","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernamePlus","testUsernamePlus",""
"passed","Wed May 01 10:45:52 GMT 2024","Wed May 01 10:45:54 GMT 2024","1287","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidSymbolsInLocalPart","testInvalidSymbolsInLocalPart",""
"passed","Wed May 01 10:46:14 GMT 2024","Wed May 01 10:46:29 GMT 2024","15368","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testMatchingPasswords","testMatchingPasswords",""
"passed","Wed May 01 10:44:09 GMT 2024","Wed May 01 10:44:10 GMT 2024","1271","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyLocalPart","testEmptyLocalPart",""
"passed","Wed May 01 10:43:26 GMT 2024","Wed May 01 10:43:26 GMT 2024","663","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearPast","testBirthdayInvalidYearPast",""
"passed","Wed May 01 10:43:50 GMT 2024","Wed May 01 10:43:51 GMT 2024","1295","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithSymbolInDomain","testEmailWithSymbolInDomain",""
"failed","Wed May 01 10:46:57 GMT 2024","Wed May 01 10:46:59 GMT 2024","1392","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameHyphen","testUsernameHyphen",""
"broken","Wed May 01 10:44:37 GMT 2024","Wed May 01 10:44:52 GMT 2024","15378","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPasswordNoLetters","testInvalidLingPasswordNoLetters",""
"broken","Wed May 01 10:45:14 GMT 2024","Wed May 01 10:45:30 GMT 2024","15337","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPasswordNoSymbols","testInvalidLingPasswordNoSymbols",""
"failed","Wed May 01 10:47:21 GMT 2024","Wed May 01 10:47:22 GMT 2024","1612","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameUnderscore","testUsernameUnderscore",""
"passed","Wed May 01 10:48:08 GMT 2024","Wed May 01 10:48:24 GMT 2024","15588","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxBirthday","testValidMaxBirthday",""
"passed","Wed May 01 10:43:30 GMT 2024","Wed May 01 10:43:46 GMT 2024","16369","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailDotInLocalPart","testEmailDotInLocalPart",""
"passed","Wed May 01 10:49:28 GMT 2024","Wed May 01 10:49:43 GMT 2024","15312","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinPassword","testValidMinPassword",""
"broken","Wed May 01 10:45:33 GMT 2024","Wed May 01 10:45:49 GMT 2024","15402","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidShortPassword","testInvalidShortPassword",""
"broken","Wed May 01 10:44:56 GMT 2024","Wed May 01 10:45:11 GMT 2024","15319","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPasswordNoNumbers","testInvalidLingPasswordNoNumbers",""
"passed","Wed May 01 10:46:10 GMT 2024","Wed May 01 10:46:10 GMT 2024","515","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongUsername","testLongUsername",""
"passed","Wed May 01 10:43:22 GMT 2024","Wed May 01 10:43:22 GMT 2024","615","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearFuture","testBirthdayInvalidYearFuture",""
"passed","Wed May 01 10:46:44 GMT 2024","Wed May 01 10:46:44 GMT 2024","386","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testShortUsername","testShortUsername",""
"passed","Wed May 01 10:43:18 GMT 2024","Wed May 01 10:43:18 GMT 2024","622","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidMonth","testBirthdayInvalidMonth",""
"passed","Wed May 01 10:49:09 GMT 2024","Wed May 01 10:49:24 GMT 2024","15579","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinBirthday","testValidMinBirthday",""
"passed","Wed May 01 10:46:32 GMT 2024","Wed May 01 10:46:33 GMT 2024","415","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testMismatchingPasswords","testMismatchingPasswords",""
"passed","Wed May 01 10:46:36 GMT 2024","Wed May 01 10:46:40 GMT 2024","3692","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testShortAbout","testShortAbout",""
"passed","Wed May 01 10:44:04 GMT 2024","Wed May 01 10:44:05 GMT 2024","1286","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyEmail","testEmptyEmail",""
"passed","Wed May 01 10:47:02 GMT 2024","Wed May 01 10:47:03 GMT 2024","401","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameInvalidSymbols","testUsernameInvalidSymbols",""
"passed","Wed May 01 10:45:57 GMT 2024","Wed May 01 10:46:01 GMT 2024","4230","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongAbout","testLongAbout",""
"passed","Wed May 01 10:47:26 GMT 2024","Wed May 01 10:47:42 GMT 2024","16359","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidLongEmail","testValidLongEmail",""
"broken","Wed May 01 10:42:58 GMT 2024","Wed May 01 10:43:14 GMT 2024","15686","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidDay","testBirthdayInvalidDay",""
"passed","Wed May 01 10:48:28 GMT 2024","Wed May 01 10:48:43 GMT 2024","15379","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxPassword","testValidMaxPassword",""
"passed","Wed May 01 10:46:05 GMT 2024","Wed May 01 10:46:06 GMT 2024","1365","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongEmail","testLongEmail",""
"passed","Wed May 01 10:47:06 GMT 2024","Wed May 01 10:47:08 GMT 2024","2191","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMaxLength","testUsernameMaxLength",""
"passed","Wed May 01 10:47:46 GMT 2024","Wed May 01 10:48:05 GMT 2024","19172","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxAbout","testValidMaxAbout",""
"passed","Wed May 01 10:43:54 GMT 2024","Wed May 01 10:43:56 GMT 2024","1314","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutAt","testEmailWithoutAt",""
"failed","Wed May 01 10:46:47 GMT 2024","Wed May 01 10:46:49 GMT 2024","1396","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameAt","testUsernameAt",""
"passed","Wed May 01 10:44:13 GMT 2024","Wed May 01 10:44:14 GMT 2024","382","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyUsername","testEmptyUsername",""
"passed","Wed May 01 10:48:47 GMT 2024","Wed May 01 10:49:05 GMT 2024","18665","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinAbout","testValidMinAbout",""
"passed","Wed May 01 10:47:12 GMT 2024","Wed May 01 10:47:12 GMT 2024","405","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMinLength","testUsernameMinLength",""
"passed","Wed May 01 10:43:59 GMT 2024","Wed May 01 10:44:00 GMT 2024","1284","Surefire suite","Surefire test","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutDot","testEmailWithoutDot",""
