"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 18:22:15 GMT 2024","Tue Apr 23 18:22:18 GMT 2024","2871","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutDomain","checkEmailWithoutDomain",""
"passed","Tue Apr 23 18:21:31 GMT 2024","Tue Apr 23 18:21:34 GMT 2024","2716","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailPlaceholder","checkEmailPlaceholder",""
"passed","Tue Apr 23 18:23:57 GMT 2024","Tue Apr 23 18:23:57 GMT 2024","467","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLanguageDropdown","checkLanguageDropdown",""
"broken","Tue Apr 23 18:22:50 GMT 2024","Tue Apr 23 18:23:08 GMT 2024","17773","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordWithoutNumbers","checkPasswordWithoutNumbers",""
"passed","Tue Apr 23 18:21:21 GMT 2024","Tue Apr 23 18:21:24 GMT 2024","2790","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"passed","Tue Apr 23 18:23:38 GMT 2024","Tue Apr 23 18:23:38 GMT 2024","477","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderDropdown","checkGenderDropdown",""
"passed","Tue Apr 23 18:21:55 GMT 2024","Tue Apr 23 18:22:13 GMT 2024","18171","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom2","checkEmailWithoutCom2",""
"broken","Tue Apr 23 18:22:30 GMT 2024","Tue Apr 23 18:22:48 GMT 2024","17798","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"passed","Tue Apr 23 18:21:41 GMT 2024","Tue Apr 23 18:21:43 GMT 2024","2761","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
"passed","Tue Apr 23 18:21:26 GMT 2024","Tue Apr 23 18:21:29 GMT 2024","2844","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailLabel","checkEmailLabel",""
"passed","Tue Apr 23 18:24:03 GMT 2024","Tue Apr 23 18:24:03 GMT 2024","10","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLogo","checkLogo",""
"unknown","Tue Apr 23 18:21:13 GMT 2024","Tue Apr 23 18:21:13 GMT 2024","1","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom","checkEmailWithoutCom",""
"passed","Tue Apr 23 18:21:50 GMT 2024","Tue Apr 23 18:21:53 GMT 2024","2694","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"failed","Tue Apr 23 18:23:10 GMT 2024","Tue Apr 23 18:23:13 GMT 2024","3338","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkWrongPassword","checkWrongPassword",""
"unknown","Tue Apr 23 18:21:13 GMT 2024","Tue Apr 23 18:21:13 GMT 2024","0","FriendRate","MyTests","tests.RegistrationTest","tests.RegistrationTest","testSignUpButton","testSignUpButton",""
"passed","Tue Apr 23 18:23:51 GMT 2024","Tue Apr 23 18:23:51 GMT 2024","10","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"passed","Tue Apr 23 18:22:25 GMT 2024","Tue Apr 23 18:22:28 GMT 2024","2715","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkInvalidEmailValidation","checkInvalidEmailValidation",""
"passed","Tue Apr 23 18:23:15 GMT 2024","Tue Apr 23 18:23:20 GMT 2024","4460","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkValidLogin","checkValidLogin",""
"passed","Tue Apr 23 18:23:32 GMT 2024","Tue Apr 23 18:23:32 GMT 2024","14","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkDescription","checkDescription",""
"passed","Tue Apr 23 18:21:46 GMT 2024","Tue Apr 23 18:21:48 GMT 2024","2689","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testHeaderText","testHeaderText",""
"passed","Tue Apr 23 18:21:36 GMT 2024","Tue Apr 23 18:21:39 GMT 2024","2814","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"passed","Tue Apr 23 18:23:45 GMT 2024","Tue Apr 23 18:23:45 GMT 2024","12","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderLabel","checkGenderLabel",""
"passed","Tue Apr 23 18:23:26 GMT 2024","Tue Apr 23 18:23:26 GMT 2024","25","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Tue Apr 23 18:22:20 GMT 2024","Tue Apr 23 18:22:23 GMT 2024","2793","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
