"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 18:47:59 GMT 2024","Tue Apr 23 18:47:59 GMT 2024","106","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLanguageDropdown","checkLanguageDropdown",""
"passed","Tue Apr 23 18:47:37 GMT 2024","Tue Apr 23 18:47:37 GMT 2024","47","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Tue Apr 23 18:46:51 GMT 2024","Tue Apr 23 18:47:09 GMT 2024","17976","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom2","checkEmailWithoutCom2",""
"passed","Tue Apr 23 18:47:50 GMT 2024","Tue Apr 23 18:47:50 GMT 2024","18","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderLabel","checkGenderLabel",""
"passed","Tue Apr 23 18:46:29 GMT 2024","Tue Apr 23 18:46:32 GMT 2024","3579","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"passed","Tue Apr 23 18:46:39 GMT 2024","Tue Apr 23 18:46:41 GMT 2024","2705","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"passed","Tue Apr 23 18:47:29 GMT 2024","Tue Apr 23 18:47:33 GMT 2024","3747","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkValidLogin","checkValidLogin",""
"passed","Tue Apr 23 18:47:12 GMT 2024","Tue Apr 23 18:47:15 GMT 2024","2726","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
"passed","Tue Apr 23 18:47:09 GMT 2024","Tue Apr 23 18:47:12 GMT 2024","2920","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutDomain","checkEmailWithoutDomain",""
"passed","Tue Apr 23 18:46:33 GMT 2024","Tue Apr 23 18:46:35 GMT 2024","2702","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailLabel","checkEmailLabel",""
"passed","Tue Apr 23 18:47:16 GMT 2024","Tue Apr 23 18:47:18 GMT 2024","2824","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkInvalidEmailValidation","checkInvalidEmailValidation",""
"passed","Tue Apr 23 18:46:36 GMT 2024","Tue Apr 23 18:46:38 GMT 2024","2551","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailPlaceholder","checkEmailPlaceholder",""
"passed","Tue Apr 23 18:47:55 GMT 2024","Tue Apr 23 18:47:55 GMT 2024","18","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"passed","Tue Apr 23 18:46:42 GMT 2024","Tue Apr 23 18:46:44 GMT 2024","2473","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
"passed","Tue Apr 23 18:48:03 GMT 2024","Tue Apr 23 18:48:03 GMT 2024","18","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLogo","checkLogo",""
"passed","Tue Apr 23 18:47:41 GMT 2024","Tue Apr 23 18:47:41 GMT 2024","19","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkDescription","checkDescription",""
"passed","Tue Apr 23 18:47:19 GMT 2024","Tue Apr 23 18:47:21 GMT 2024","2724","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"unknown","Tue Apr 23 18:46:20 GMT 2024","Tue Apr 23 18:46:20 GMT 2024","1","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom","checkEmailWithoutCom",""
"passed","Tue Apr 23 18:47:46 GMT 2024","Tue Apr 23 18:47:46 GMT 2024","143","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderDropdown","checkGenderDropdown",""
"passed","Tue Apr 23 18:46:45 GMT 2024","Tue Apr 23 18:46:47 GMT 2024","2621","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testHeaderText","testHeaderText",""
"passed","Tue Apr 23 18:47:22 GMT 2024","Tue Apr 23 18:47:25 GMT 2024","2855","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordWithoutNumbers","checkPasswordWithoutNumbers",""
"passed","Tue Apr 23 18:46:48 GMT 2024","Tue Apr 23 18:46:50 GMT 2024","2865","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"unknown","Tue Apr 23 18:46:20 GMT 2024","Tue Apr 23 18:46:20 GMT 2024","0","FriendRate","MyTests","tests.RegistrationTest","tests.RegistrationTest","testSignUpButton","testSignUpButton",""
"passed","Tue Apr 23 18:47:25 GMT 2024","Tue Apr 23 18:47:29 GMT 2024","3568","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkWrongPassword","checkWrongPassword",""
