"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 20:38:23 GMT 2024","Mon Jun 03 20:38:25 GMT 2024","1610","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testInvalidEmailInput","testInvalidEmailInput",""
"passed","Mon Jun 03 20:44:53 GMT 2024","Mon Jun 03 20:44:56 GMT 2024","2553","FriendRate","Api tests","api.FriendTest","api.FriendTest","checkSuccessRegistration","checkSuccessRegistration",""
"passed","Mon Jun 03 20:38:01 GMT 2024","Mon Jun 03 20:38:02 GMT 2024","130","FriendRate","Positive paths","tests.MainPageTest","tests.MainPageTest","checkLanguageDropdown","checkLanguageDropdown",""
"passed","Mon Jun 03 20:44:38 GMT 2024","Mon Jun 03 20:44:53 GMT 2024","15309","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinPassword","testValidMinPassword",""
"failed","Mon Jun 03 20:42:05 GMT 2024","Mon Jun 03 20:42:06 GMT 2024","1382","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameAt","testUsernameAt",""
"passed","Mon Jun 03 20:37:38 GMT 2024","Mon Jun 03 20:37:42 GMT 2024","3565","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkValidLogin","checkValidLogin",""
"passed","Mon Jun 03 20:36:58 GMT 2024","Mon Jun 03 20:37:01 GMT 2024","2294","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
"passed","Mon Jun 03 20:41:14 GMT 2024","Mon Jun 03 20:41:15 GMT 2024","1304","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidSymbolsInLocalPart","testInvalidSymbolsInLocalPart",""
"passed","Mon Jun 03 20:39:20 GMT 2024","Mon Jun 03 20:39:21 GMT 2024","1403","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutAt","testEmailWithoutAt",""
"passed","Mon Jun 03 20:37:58 GMT 2024","Mon Jun 03 20:37:58 GMT 2024","19","FriendRate","Positive paths","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"failed","Mon Jun 03 20:42:31 GMT 2024","Mon Jun 03 20:42:32 GMT 2024","1379","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernamePlus","testUsernamePlus",""
"passed","Mon Jun 03 20:44:56 GMT 2024","Mon Jun 03 20:44:57 GMT 2024","497","FriendRate","Api tests","api.FriendTest","api.FriendTest","checkAddingInfo","checkAddingInfo",""
"failed","Mon Jun 03 20:38:20 GMT 2024","Mon Jun 03 20:38:21 GMT 2024","1631","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmptyConfPasswordInput","testEmptyConfPasswordInput",""
"unknown","Mon Jun 03 20:38:17 GMT 2024","Mon Jun 03 20:38:17 GMT 2024","0","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmailWithoutComInput","testEmailWithoutComInput",""
"passed","Mon Jun 03 20:44:19 GMT 2024","Mon Jun 03 20:44:34 GMT 2024","15611","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinBirthday","testValidMinBirthday",""
"passed","Mon Jun 03 20:37:31 GMT 2024","Mon Jun 03 20:37:33 GMT 2024","2550","FriendRate","Positive paths","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"passed","Mon Jun 03 20:38:21 GMT 2024","Mon Jun 03 20:38:23 GMT 2024","1571","FriendRate","Sad paths","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmptyEmailInput","testEmptyEmailInput",""
"passed","Mon Jun 03 20:39:24 GMT 2024","Mon Jun 03 20:39:25 GMT 2024","1299","FriendRate","Boundary Values Tests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutDot","testEmailWithoutDot",""
