"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 17:17:18 GMT 2024","Tue May 07 17:17:34 GMT 2024","15332","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinPassword","testValidMinPassword",""
"passed","Tue May 07 17:09:39 GMT 2024","Tue May 07 17:09:39 GMT 2024","17","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"passed","Tue May 07 17:08:19 GMT 2024","Tue May 07 17:08:22 GMT 2024","3334","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"passed","Tue May 07 17:09:56 GMT 2024","Tue May 07 17:09:58 GMT 2024","1911","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testInvalidEmailInput","testInvalidEmailInput",""
"passed","Tue May 07 17:08:26 GMT 2024","Tue May 07 17:08:28 GMT 2024","2506","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailPlaceholder","checkEmailPlaceholder",""
"passed","Tue May 07 17:10:14 GMT 2024","Tue May 07 17:10:17 GMT 2024","2858","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkSuccessRegistration","checkSuccessRegistration",""
"passed","Tue May 07 17:15:55 GMT 2024","Tue May 07 17:16:10 GMT 2024","15590","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxBirthday","testValidMaxBirthday",""
"passed","Tue May 07 17:14:06 GMT 2024","Tue May 07 17:14:07 GMT 2024","404","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testMismatchingPasswords","testMismatchingPasswords",""
"passed","Tue May 07 17:10:05 GMT 2024","Tue May 07 17:10:07 GMT 2024","1874","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoNumbersPasswordInput","testNoNumbersPasswordInput",""
"passed","Tue May 07 17:10:00 GMT 2024","Tue May 07 17:10:02 GMT 2024","2071","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testMismatchingPasswordInput","testMismatchingPasswordInput",""
"passed","Tue May 07 17:15:09 GMT 2024","Tue May 07 17:15:26 GMT 2024","16330","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidLongEmail","testValidLongEmail",""
"passed","Tue May 07 17:10:07 GMT 2024","Tue May 07 17:10:09 GMT 2024","1907","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoSpecialCharsPasswordInput","testNoSpecialCharsPasswordInput",""
"passed","Tue May 07 17:11:19 GMT 2024","Tue May 07 17:11:20 GMT 2024","1317","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailWithoutAt","testEmailWithoutAt",""
"passed","Tue May 07 17:09:06 GMT 2024","Tue May 07 17:09:08 GMT 2024","2629","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"passed","Tue May 07 17:09:03 GMT 2024","Tue May 07 17:09:05 GMT 2024","2500","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkInvalidEmailValidation","checkInvalidEmailValidation",""
"broken","Tue May 07 17:12:23 GMT 2024","Tue May 07 17:12:39 GMT 2024","15331","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLongPasswordNoNumbers","testInvalidLongPasswordNoNumbers",""
"unknown","Tue May 07 17:08:18 GMT 2024","Tue May 07 17:08:18 GMT 2024","1","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testSignUp","testSignUp",""
"passed","Tue May 07 17:14:46 GMT 2024","Tue May 07 17:14:48 GMT 2024","1575","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMaxLength","testUsernameMaxLength",""
"passed","Tue May 07 17:13:37 GMT 2024","Tue May 07 17:13:38 GMT 2024","1345","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongEmail","testLongEmail",""
"passed","Tue May 07 17:10:02 GMT 2024","Tue May 07 17:10:05 GMT 2024","2192","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoLettersPasswordInput","testNoLettersPasswordInput",""
"failed","Tue May 07 17:14:25 GMT 2024","Tue May 07 17:14:26 GMT 2024","1528","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameAt","testUsernameAt",""
"passed","Tue May 07 17:10:18 GMT 2024","Tue May 07 17:10:19 GMT 2024","465","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkGetIngo","checkGetIngo",""
"passed","Tue May 07 17:11:35 GMT 2024","Tue May 07 17:11:36 GMT 2024","1453","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyLocalPart","testEmptyLocalPart",""
"passed","Tue May 07 17:11:40 GMT 2024","Tue May 07 17:11:41 GMT 2024","526","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmptyUsername","testEmptyUsername",""
"broken","Tue May 07 17:12:04 GMT 2024","Tue May 07 17:12:19 GMT 2024","15319","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLongPasswordNoLetters","testInvalidLongPasswordNoLetters",""
"passed","Tue May 07 17:09:47 GMT 2024","Tue May 07 17:09:47 GMT 2024","16","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLogo","checkLogo",""
"passed","Tue May 07 17:08:39 GMT 2024","Tue May 07 17:08:57 GMT 2024","17558","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom2","checkEmailWithoutCom2",""
