"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 18:17:55 GMT 2024","Tue Apr 23 18:17:55 GMT 2024","18","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkDescription","checkDescription",""
"failed","Tue Apr 23 18:17:38 GMT 2024","Tue Apr 23 18:17:42 GMT 2024","3478","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkWrongPassword","checkWrongPassword",""
"passed","Tue Apr 23 18:16:33 GMT 2024","Tue Apr 23 18:16:35 GMT 2024","2582","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailLabel","checkEmailLabel",""
"passed","Tue Apr 23 18:18:07 GMT 2024","Tue Apr 23 18:18:07 GMT 2024","19","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkImage","checkImage",""
"broken","Tue Apr 23 18:17:20 GMT 2024","Tue Apr 23 18:17:38 GMT 2024","17503","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordWithoutNumbers","checkPasswordWithoutNumbers",""
"broken","Tue Apr 23 18:17:02 GMT 2024","Tue Apr 23 18:17:20 GMT 2024","17492","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"passed","Tue Apr 23 18:16:38 GMT 2024","Tue Apr 23 18:16:41 GMT 2024","2414","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"broken","Tue Apr 23 18:16:53 GMT 2024","Tue Apr 23 18:16:56 GMT 2024","2538","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutDomain","checkEmailWithoutDomain",""
"unknown","Tue Apr 23 18:15:33 GMT 2024","Tue Apr 23 18:15:33 GMT 2024","0","FriendRate","MyTests","tests.RegistrationTest","tests.RegistrationTest","testSignUpButton","testSignUpButton",""
"passed","Tue Apr 23 18:18:03 GMT 2024","Tue Apr 23 18:18:03 GMT 2024","18","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderLabel","checkGenderLabel",""
"passed","Tue Apr 23 18:16:21 GMT 2024","Tue Apr 23 18:16:32 GMT 2024","10519","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"passed","Tue Apr 23 18:17:51 GMT 2024","Tue Apr 23 18:17:51 GMT 2024","47","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Tue Apr 23 18:17:42 GMT 2024","Tue Apr 23 18:17:47 GMT 2024","4177","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkValidLogin","checkValidLogin",""
"passed","Tue Apr 23 18:18:15 GMT 2024","Tue Apr 23 18:18:15 GMT 2024","16","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLogo","checkLogo",""
"broken","Tue Apr 23 18:16:50 GMT 2024","Tue Apr 23 18:16:52 GMT 2024","2903","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom2","checkEmailWithoutCom2",""
"unknown","Tue Apr 23 18:15:33 GMT 2024","Tue Apr 23 18:15:33 GMT 2024","2","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom","checkEmailWithoutCom",""
"passed","Tue Apr 23 18:18:11 GMT 2024","Tue Apr 23 18:18:11 GMT 2024","106","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLanguageDropdown","checkLanguageDropdown",""
"passed","Tue Apr 23 18:16:44 GMT 2024","Tue Apr 23 18:16:46 GMT 2024","2533","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testHeaderText","testHeaderText",""
"broken","Tue Apr 23 18:16:56 GMT 2024","Tue Apr 23 18:16:59 GMT 2024","2845","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
"passed","Tue Apr 23 18:17:59 GMT 2024","Tue Apr 23 18:17:59 GMT 2024","152","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderDropdown","checkGenderDropdown",""
"passed","Tue Apr 23 18:16:36 GMT 2024","Tue Apr 23 18:16:38 GMT 2024","2393","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailPlaceholder","checkEmailPlaceholder",""
"broken","Tue Apr 23 18:16:59 GMT 2024","Tue Apr 23 18:17:02 GMT 2024","2492","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkInvalidEmailValidation","checkInvalidEmailValidation",""
"passed","Tue Apr 23 18:16:47 GMT 2024","Tue Apr 23 18:16:49 GMT 2024","2418","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"passed","Tue Apr 23 18:16:41 GMT 2024","Tue Apr 23 18:16:43 GMT 2024","2374","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
