"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 09:14:14 GMT 2024","Wed May 01 09:14:17 GMT 2024","2779","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"passed","Wed May 01 09:15:45 GMT 2024","Wed May 01 09:15:47 GMT 2024","1923","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoSpecialCharsPasswordInput","testNoSpecialCharsPasswordInput",""
"passed","Wed May 01 09:14:06 GMT 2024","Wed May 01 09:14:08 GMT 2024","2404","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"broken","Wed May 01 09:18:15 GMT 2024","Wed May 01 09:18:31 GMT 2024","15726","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPasswordNoNumbers","testInvalidLingPasswordNoNumbers",""
"passed","Wed May 01 09:15:05 GMT 2024","Wed May 01 09:15:05 GMT 2024","19","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkDescription","checkDescription",""
"passed","Wed May 01 09:15:25 GMT 2024","Wed May 01 09:15:27 GMT 2024","1588","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testSignUpButton","testSignUpButton",""
"passed","Wed May 01 09:15:27 GMT 2024","Wed May 01 09:15:29 GMT 2024","1691","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmailWithoutDomainInput","testEmailWithoutDomainInput",""
"passed","Wed May 01 09:21:40 GMT 2024","Wed May 01 09:21:56 GMT 2024","15601","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxBirthday","testValidMaxBirthday",""
"passed","Wed May 01 09:15:34 GMT 2024","Wed May 01 09:15:35 GMT 2024","1922","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testInvalidEmailInput","testInvalidEmailInput",""
"passed","Wed May 01 09:15:58 GMT 2024","Wed May 01 09:16:04 GMT 2024","5869","FriendRate","MyTests","tests.EditProfileHappyPathTest","tests.EditProfileHappyPathTest","testEditProfile","testEditProfile",""
"passed","Wed May 01 09:14:43 GMT 2024","Wed May 01 09:14:46 GMT 2024","3002","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPassword7chars","checkPassword7chars",""
"passed","Wed May 01 09:14:38 GMT 2024","Wed May 01 09:14:40 GMT 2024","2467","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmptyEmailValidation","checkEmptyEmailValidation",""
"passed","Wed May 01 09:14:08 GMT 2024","Wed May 01 09:14:11 GMT 2024","2336","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordPlaceholder","checkPasswordPlaceholder",""
"passed","Wed May 01 09:22:00 GMT 2024","Wed May 01 09:22:15 GMT 2024","15686","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxPassword","testValidMaxPassword",""
"passed","Wed May 01 09:20:30 GMT 2024","Wed May 01 09:20:30 GMT 2024","437","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameInvalidSymbols","testUsernameInvalidSymbols",""
"passed","Wed May 01 09:15:29 GMT 2024","Wed May 01 09:15:31 GMT 2024","2061","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmptyConfPasswordInput","testEmptyConfPasswordInput",""
"passed","Wed May 01 09:15:53 GMT 2024","Wed May 01 09:15:54 GMT 2024","585","FriendRate","MyTests","api.FriendTest","api.FriendTest","testDeleteUser","testDeleteUser",""
"failed","Wed May 01 09:20:51 GMT 2024","Wed May 01 09:20:53 GMT 2024","2089","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameUnderscore","testUsernameUnderscore",""
"passed","Wed May 01 09:21:17 GMT 2024","Wed May 01 09:21:36 GMT 2024","19435","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxAbout","testValidMaxAbout",""
"passed","Wed May 01 09:14:40 GMT 2024","Wed May 01 09:14:43 GMT 2024","2813","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkInvalidEmailValidation","checkInvalidEmailValidation",""
"passed","Wed May 01 09:15:49 GMT 2024","Wed May 01 09:15:52 GMT 2024","3001","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkSuccessRegistration","checkSuccessRegistration",""
"passed","Wed May 01 09:15:52 GMT 2024","Wed May 01 09:15:52 GMT 2024","544","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkValidLogin","checkValidLogin",""
"unknown","Wed May 01 09:13:55 GMT 2024","Wed May 01 09:13:55 GMT 2024","0","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmailWithoutComInput","testEmailWithoutComInput",""
"passed","Wed May 01 09:14:17 GMT 2024","Wed May 01 09:14:35 GMT 2024","17606","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailWithoutCom2","checkEmailWithoutCom2",""
"passed","Wed May 01 09:15:32 GMT 2024","Wed May 01 09:15:33 GMT 2024","1677","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmptyEmailInput","testEmptyEmailInput",""
"passed","Wed May 01 09:16:46 GMT 2024","Wed May 01 09:17:02 GMT 2024","16307","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailDotInLocalPart","testEmailDotInLocalPart",""
"passed","Wed May 01 09:15:53 GMT 2024","Wed May 01 09:15:53 GMT 2024","471","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkGetIngo","checkGetIngo",""
"passed","Wed May 01 09:19:56 GMT 2024","Wed May 01 09:19:57 GMT 2024","417","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testMismatchingPasswords","testMismatchingPasswords",""
"unknown","Wed May 01 09:13:55 GMT 2024","Wed May 01 09:13:55 GMT 2024","0","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkRegistrationWrongEmail","checkRegistrationWrongEmail",""
"passed","Wed May 01 09:15:36 GMT 2024","Wed May 01 09:15:38 GMT 2024","1895","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testLongPasswordInput","testLongPasswordInput",""
"unknown","Wed May 01 09:13:55 GMT 2024","Wed May 01 09:13:55 GMT 2024","0","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testUsedEmailInput","testUsedEmailInput",""
"passed","Wed May 01 09:13:57 GMT 2024","Wed May 01 09:14:00 GMT 2024","2539","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"failed","Wed May 01 09:20:18 GMT 2024","Wed May 01 09:20:20 GMT 2024","1423","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameDot","testUsernameDot",""
"passed","Wed May 01 09:20:57 GMT 2024","Wed May 01 09:21:13 GMT 2024","16353","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidLongEmail","testValidLongEmail",""
"passed","Wed May 01 09:16:40 GMT 2024","Wed May 01 09:16:41 GMT 2024","584","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearPast","testBirthdayInvalidYearPast",""
"passed","Wed May 01 09:15:47 GMT 2024","Wed May 01 09:15:49 GMT 2024","1729","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testShortPasswordInput","testShortPasswordInput",""
"passed","Wed May 01 09:20:39 GMT 2024","Wed May 01 09:20:41 GMT 2024","1076","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMinLength","testUsernameMinLength",""
"passed","Wed May 01 09:14:00 GMT 2024","Wed May 01 09:14:03 GMT 2024","2461","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkEmailLabel","checkEmailLabel",""
